id,text,domain,priority,language,channel,timestamp
21,"Nehru Colony के पास एक महीने से पानी का प्रेशर बहुत कम है, टैंकर की जरूरत है।",Water,Medium,hi,web,2025-02-27T16:32:46
22,"Sewage is overflowing into homes near Malviya Nagar, extremely unhygienic and dangerous for children, urgent help needed. please help please look into this",Sanitation,High,en,phone,2025-02-10T00:34:08
23,"Ward 7 में नाली 2 हफ्तों से जाम है, बदबू फैल रही है।",Sanitation,Medium,hi,web,2025-01-09T15:40:14
24,"Civil Lines ke paas pani ki main pipeline fat gayi hai aur gharo me pani bhar raha hai, ganda jal mil raha hai, turant karwai karo. urgent hai",Water,High,hinglish,whatsapp,2025-03-30T05:57:12
25,"Minor crack developing on the footpath nar Andheri West, suggest repairing before monsoon. need this fixed",Roads,Low,en,web,2025-03-12T05:16:04
26,"Indira Nagar के पास एक स्ट्रीट लाइट थोड़ी धीमी है, जरूरी नहीं बदल दी जाए तो अच्छा है।",Lights,Low,hi,app,2025-04-20T23:51:55
27,"Dwarka Sector 9 के नाली 2 हफ्तों से बंद है, पानी जमा हो रहा है। कृपया जल्दी करें",Sanitation,Medium,hi,whatsapp,2025-02-12T17:53:39
28,"Ashok Vihar के पास हल्का कचरा जमा हो रहा है, जरूरी नहीं पर देख लें।",Waste,Low,hi,whatsapp,2025-03-18T20:45:47
29,"Water supply near Mayur Vihar has been irregular for a week, taps run dry most mornings. please help",Water,Medium,en,web,2025-02-03T22:22:21
30,Suggestion: MG Road me kachra uthane ki frequency hafte me do baar kar di jaye. urgent hai,Waste,Low,hinglish,web,2025-05-12T17:51:54
31,"Green Park ke paas 3 din se paani ka pressure bahut kam hai, tanker ki zarurat hai. pls jaldi karo",Water,Medium,hinglish,phone,2025-06-22T19:26:19
32,Suggestion: MG Road ki purani wiring is saal badal di jaye.,Electricity,Low,hinglish,web,2025-02-15T17:44:58
33,"Dwarka Sector 9 ke paas naali ek hafte se bad hai, pani jama ho raha hai. suggestion",Sanitation,Medium,hinglish,phone,2025-04-19T23:33:13
34,सुझाव: Kalkaji की खुली नाली को सुरक्षा लिए ढक दिया जाए।,Sanitation,Low,hi,app,2025-05-06T16:13:05
35,"Low water pressure near Gandhi Chowk for 10 days now, tankers needed in the meantime. not urgent",Water,Medium,en,app,2025-02-24T00:47:52
36,Suggestion: Gandhi Chowk me kachra uthane ki frequency hafte me do baar di jaye.,Waste,Low,hinglish,phone,2025-02-25T22:21:13
37,Civil Lines के पास पानी के पाइप से हल्का रिसाव जरूरी नहीं पर जांच करवा लें।,Water,Low,hi,app,2025-01-15T06:03:22
38,Ashok Vihar के पास सड़क में 2 हफ्तों से गड्ढा है जिससे ट्रैफिक जाम हो रहा है। बहुत परेशानी हो रही है,Roads,Medium,hi,phone,2025-04-26T16:07:08
39,"Ward 12 के पास पानी की मुख्य पाइपलाइन फट गई है और घरों में पानी भर रहा है, गंदा पानी मिल रहा है, तुरंत कार्रवाई करें।",Water,High,hi,web,2025-03-09T07:38:03
40,"The drain near Andheri West has been blocked for 10 days, water is stagnating. pls fix asap",Sanitation,Medium,en,whatsapp,2025-04-17T06:31:50
41,"Patel Nagar के पास बड़ी आग लगने का खतरा बताया गया है, प्रशासन तुरंत कार्रवाई करे।",Other / Unknown,High,hi,whatsapp,2025-01-14T14:17:46
42,"Just a small pothole near Civil Lines, not urgent but should be patched sometime.",Roads,Low,en,whatsapp,2025-01-16T14:29:44
43,"Loud construction noise near Indira Nagar at night for a week, disturbing residents. urgent!!!",Other / Unknown,Medium,en,whatsapp,2025-05-03T23:13:10
44,"Low water pressure near Malviya Nagar for 3 days now, tankers needed in the meantime. urgent!!! whenever convenient",Water,Medium,en,web,2025-05-01T07:04:59
45,"Mosquito breeding has increased near Ashok Vihar for 5 days, residents fear an outbreak. please help whenever convenient",Health,Medium,en,whatsapp,2025-06-10T23:05:39
46,"MG Road ke paas peene ke paani me sewage mix ho raha hai, family bimar pad rhai hai, turant dhyan do. halat bigad rahi hai",Water,High,hinglish,app,2025-01-15T09:05:01
47,"Water supply near Ward 7 has been irregular for 10 days, taps run dry most mornings. not urgent",Water,Medium,en,whatsapp,2025-04-06T09:29:12
48,"Andheri West में सड़क अचानक धंस है, यह बहुत खतरनाक है, जल्द मरम्मत करें। कृपया जल्दी करें",Roads,High,hi,web,2025-01-13T21:16:09
49,"Nehru Colony ke paas sadak me bahut bada gaddha hai jiski wajah se kal accident ho gaya, please turant fix karo. plesae dhyan do",Roads,High,hinglish,app,2025-06-22T11:18:07
50,Ward 7 ke paas steretlight 2 hafto se flicker kar rahi hai aur band ho jati hai. urgent nahi,Lights,Medium,hinglish,phone,2025-03-18T17:37:49
51,"Green Park ke paas naali se halki badbu aa rahi hai, urgent nahi par safai karwa dena.",Sanitation,Low,hinglish,phone,2025-06-10T19:36:33
52,"Vasant Kunj ke paas 3 din se illegal parking road ko jam kar rahi hai, please karwai karo.",Other / Unknown,Medium,hinglish,web,2025-06-12T22:50:19
53,"Mayur Vihar में पानी की सप्लाई 10 दिनों से अनियमित है, सुबह नल सूखे रहते हैं। बहुत परेशानी हो रही है",Water,Medium,hi,app,2025-01-11T19:57:25
54,"All streetlights on the main stretch near Saket are out, pitch dark at night, very dangerous for commuters. urgent!!!",Lights,High,en,phone,2025-03-22T23:38:59
55,"Salt Lake में रात को निर्माण कार्य का बहुत शोर हो रहा है, 2 हफ्तों से यही हाल है। बहुत परेशानी हो रही है जब समय मिले",Other / Unknown,Medium,hi,web,2025-01-20T08:10:36
56,"Dwarka Sector 9 ke paas pani ki main pipeline fat gayi hai aur gharo me pani bhar raha hai, ganda jal mil raha hai, turant karwai karo. urgent hai",Water,High,hinglish,app,2025-05-02T10:52:51
57,"Ward 7 ke paas awara kutte 3 din se aggressive ho gaye hai, ek insaan ko kaat liya.",Health,Medium,hinglish,web,2025-02-09T03:50:01
58,सुझाव: Dwarka Sector 9 के पार्क में और बेंच लगाई जाएं।,Other / Unknown,Low,hi,whatsapp,2025-05-15T07:05:44
59,"Green Park ke paas 2 hafto se machhar badh rahe hai, log bimari failne se dar rahe hai.",Health,Medium,hinglish,phone,2025-05-14T12:13:37
60,"Nehru Colony में पानी की सप्लाई 2 हफ्तों से अनियमित है, सुबह नल सूखे रहते हैं।",Water,Medium,hi,whatsapp,2025-03-13T01:49:59
61,"Sewage is mixing into the drinking water supply near Vasant Kunj, families are falling sick, immediate action needed. urgent!!! getting worse",Water,High,en,app,2025-06-11T19:47:38
62,"All streetlights on the main stretch near Ashok Vihar are out, pitch dark at night, very dangerous for commuters. need this fixed",Lights,High,en,app,2025-02-04T02:17:50
63,"The lamp post near Dwarka Sector 9 has been dark for 2 weeks, please send a technician.",Lights,Medium,en,whatsapp,2025-01-31T06:29:52
64,"Malviya Nagar me sadak ki halat 10 dino se kharab hai, please theek karwao.",Roads,Medium,hinglish,phone,2025-01-12T11:35:04
65,"Salt Lake के पास स्ट्रीट लाइट एक हफ्ते से बंद है और कल रात लूट हो गई, महिलाएं असुरक्षित महसूस कर रही हैं, तुरंत ठीक करें।",Lights,High,hi,phone,2025-05-22T04:43:29
66,"Indira Nagar ke paas 2 hafto se machhar badh rahe hai, log bimari failne se dar rahe hai.",Health,Medium,hinglish,app,2025-06-21T09:26:46
67,"The road near Sector 21 has multiple potholes making it hard to drive, been like this for 10 days. pls fix asap",Roads,Medium,en,phone,2025-05-18T19:53:02
68,Suggestion: Mayur Vihar me paani supply ka time aadha ghanta badha diya jaye. urgent hai,Water,Low,hinglish,app,2025-04-25T05:53:26
69,"Gandhi Chowk ke paas ek hafte se kachra nahi uthaya gaya hai, dustbin bhar gaye hai.",Waste,Medium,hinglish,phone,2025-04-16T02:02:22
70,"Mayur Vihar ke paas kachre ka bada dher sad raha hai aur bimari fela raha hai, turant uthwao.",Waste,High,hinglish,app,2025-05-15T18:06:54
71,"Nehru Colony के पास पानी के पाइप से हल्का रिसाव है, जरूरी नहीं पर जांच करवा लें। कृपया जल्दी करें",Water,Low,hi,web,2025-06-19T08:23:11
72,"Malviya Nagar ke paas footpath me chhoti si darar hai, time milne par theek karwa dena.",Roads,Low,hinglish,web,2025-04-26T03:46:06
73,Suggestion: Koramangala ke park me aur benches lagayi jaye.,Other / Unknown,Low,hinglish,app,2025-05-26T05:04:50
74,There is a large pothole on the road near Malviya Nagar causing traffic jams for 10 days. pls fix asap,Roads,Medium,en,phone,2025-03-06T02:58:55
75,Gandhi Chowk के पास सड़क में एक महीने से गड्ढा है जिससे ट्रैफिक जाम हो रहा है।,Roads,Medium,hi,phone,2025-01-24T17:06:45
76,सुझाव: Koramangala में पानी सप्लाई का समय आधा घंटा बढ़ा दिया जाए।,Water,Low,hi,app,2025-04-07T14:02:03
77,"Koramangala ki sabhi streetlights band hai, raat me pura andhera rehta hai, bahut khatarnak hai.",Lights,High,hinglish,phone,2025-05-25T10:54:54
78,There is a large pothole on the road near Civil Lines causing traffic jams for a week. urgent!!!,Roads,Medium,en,whatsapp,2025-04-05T06:06:32
79,"Shastri Nagar ke paas accident hua hai aur ek ghante se ambulance nahi aayi, medical emergency hai. urgent hai",Health,High,hinglish,whatsapp,2025-05-24T12:38:46
80,"Sector 21 ke paas 2 hafto se bijli baar baar ja rahi hai, appliances kharab ho rahe hai.",Electricity,Medium,hinglish,web,2025-06-18T10:08:17
81,"Minor encroachment issue near Rohini, not urgent, just flagging. please help",Other / Unknown,Low,en,app,2025-03-30T22:53:40
82,"Koramangala में खंभे की बत्ती एक महीने बंद है, कृपया तकनीशियन भेजें।",Lights,Medium,hi,web,2025-05-24T15:01:30
83,Koramangala me ek hafte se baar baar power cut ho raha hai.,Electricity,Medium,hinglish,phone,2025-02-13T02:49:29
84,"Minor crack developing on the footpath near Gandhi Chowk, suggest repairing before monsoon. urgent!!!",Roads,Low,en,web,2025-01-21T11:43:39
85,"Dwarka Sector 9 me kachra utane me 5 din se deri ho rahi hai, badbu badh rahi hai.",Waste,Medium,hinglish,phone,2025-05-02T01:17:40
86,Suggestion: conduct fogging drive naer Ashok Vihar before monsoon season. please help,Health,Low,en,app,2025-01-22T04:36:31
87,"Koramangala के पास बड़ी आग लगने का खतरा बताया गया है, प्रशासन तुरंत कार्रवाई करे।",Other / Unknown,High,hi,app,2025-05-02T17:29:35
88,"Gandhi Chowk के पास स्ट्रीट लाइट 5 दिनों से बंद है और कल रात लूट हो गई, महिलाएं असुरक्षित महसूस कर रही हैं, तुरंत ठीक करें। बहुत परेशानी हो रही है",Lights,High,hi,phone,2025-03-18T16:30:46
89,सुझाव: मानसून से पहले Patel Nagar के पास फॉगिंग करवाई जाए।,Health,Low,hi,web,2025-04-26T06:05:21
90,"Ward 7 के पास सीवेज घरों में घुस रहा है, बच्चों के लिए बहुत खतरनाक और गंदा है, तुरंत मदद चाहिए।",Sanitation,High,hi,phone,2025-01-12T03:48:06
91,"Garbage has not been collected near Patel Nagar for a week now, bins are overflowing. pls fix asap whenever convenient",Waste,Medium,en,phone,2025-01-06T12:04:59
92,"Garbage has piled up near MG Road for a week, medical waste is mixed in, rats and stray dogs are swarming, health hazard. pls fix asap",Waste,High,en,whatsapp,2025-03-08T13:08:32
93,"Indira Nagar ke paas ek streetlight thodi dim hai, urgent nahi par badal di jaye to accha hai.",Lights,Low,hinglish,whatsapp,2025-06-10T18:14:33
94,"Ashok Vihar के पास एक महीने से पानी का प्रेशर बहुत कम है, टैंकर की जरूरत है। बहुत परेशानी हो रही है",Water,Medium,hi,web,2025-01-25T23:59:24
95,Suggestion: conduct a fogging drive near Nehru Colony before monsoon season. pls fix asaap,Health,Low,en,phone,2025-01-09T00:33:55
96,"Ward 7 में नाली दिन से जाम है, बदबू फैल रही है।",Sanitation,Medium,hi,phone,2025-04-13T21:30:05
97,"Model Town में कचरा उठाने में 5 दिनों से देरी हो रही है, बदबू बढ़ रही है।",Waste,Medium,hi,web,2025-01-24T04:09:23
98,"Multiple dengue cases have been reported near Andheri West, mosquito breeding is out of control, urgent fogging needed.",Health,High,en,whatsapp,2025-03-13T04:40:41
99,"Saket ke paas ek streetlight thodi dim hai, urgent nahi par badal di jaye to accha hai. pls jaldi karo",Lights,Low,hinglish,web,2025-02-28T18:31:32
100,"MG Road के पास फुटपाथ में छोटी सी दरार है, समय मिलने पर ठीक करवा दें।",Roads,Low,hi,phone,2025-05-05T22:06:10
101,"Hauz Khas के पास हल्का कचरा जमा हो रहा है, जरूरी नहीं पर देख लें। बहुत परेशानी हो रही है हालत बिगड़ रही है",Waste,Low,hi,whatsapp,2025-05-05T03:00:14
102,Suggestion: Ward 12 ki sadak resurface kar di jaye to accha rahega.,Roads,Low,hinglish,web,2025-06-15T15:24:56
103,"Sector 21 ke paas naali se halki badbu aa rahi hai, urgent nahi par safai karwa dena.",Sanitation,Low,hinglish,phone,2025-03-19T22:31:07
104,"Vasant Kunj में सड़क की हालत 3 दिन से खराब है, कृपया मरम्मत करवाएं।",Roads,Medium,hi,phone,2025-01-14T07:24:40
105,सुझाव: MG Road की पुरानी वायरिंग इस साल बदल दी जाए। कृपया जल्दी करें,Electricity,Low,hi,web,2025-03-31T15:34:47
106,"Malviya Nagar ke paas naali se halki badbu aa rahi hai, urgent nahi par safai karwa dena.",Sanitation,Low,hinglish,web,2025-03-27T00:17:12
107,"Loud construction noise near Indira Nagar at night for month, disturbing residents. urgent!!!",Other / Unknown,Medium,en,phone,2025-05-07T00:41:10
108,"There has been an accident near Nehru Colony and no ambulance has arrived for over an hour, medical emergency. please help",Health,High,en,web,2025-03-02T01:20:14
109,"Minor encroachment issue near Hauz Khas, not urgent, just flagging.",Other / Unknown,Low,en,whatsapp,2025-05-28T21:33:36
110,"Patel Nagar ke paas dengue ke kai cases aaye hai, machhar bahut badh gaye hai, turant fogging karwao.",Health,High,hinglish,app,2025-02-26T12:14:23
111,"Sector 21 में पानी की सप्लाई एक हफ्ते से अनियमित है, सुबह नल सूखे रहते हैं।",Water,Medium,hi,whatsapp,2025-01-24T13:34:00
112,"Model Town ke paas halka voltage fluctuation hai, urgent nhi par check karwa lena.",Electricity,Low,hinglish,whatsapp,2025-04-04T04:35:55
113,"All streetlights on the main stretch near MG Road are out, pitch dark at night, very dangerous for commuters. please look into this",Lights,High,en,whatsapp,2025-05-12T14:29:56
114,"Lajpat Nagar ke paas awara kutte 10 dino se aggressive ho gaye hai, ek insaan ko kaat liya. pls jaldi karo",Health,Medium,hinglish,phone,2025-01-30T10:08:07
115,"Patel Nagar के पास नाली फट गई है और सीवेज का पानी सड़क पर भर गया है, स्वास्थ्य आपातकाल है।",Sanitation,High,hi,app,2025-01-23T14:59:21
116,Suggestion: monsoon se pehle Indira Nagar ke paas fogging karwai jaye. please dhyan do,Health,Low,hinglish,app,2025-06-27T02:50:25
117,Saket ke paas streetlight 10 dino se flicker kar rahi hai aur band ho jati hai.,Lights,Medium,hinglish,phone,2025-01-28T04:55:58
118,"All streetlights on the main stretch near Vasant Kunj are out, pitch dark at night, very dangerous for commuters.",Lights,High,en,app,2025-05-08T18:06:51
119,Suggestion: Vasant Kunj ki khuli naali ko safety ke liye dhak diya jaye.,Sanitation,Low,hinglish,app,2025-06-09T07:32:39
120,"Dwarka Sector 9 ki sabhi streetlights band hai, raat me pura andhera rehta hai, bahut khatarnak hai.",Lights,High,hinglish,phone,2025-06-17T09:20:12
121,"Dwarka Sector 9 के पास 2 हफ्तों से कचरा नहीं उठाया गया है, डस्टबिन भर गए हैं। कृपया जल्दी करें",Waste,Medium,hi,app,2025-04-27T03:17:00
122,"Multiple dengue cases have been reported near Rohini, mosquito breeding is out of control, urgent fogging needed.",Health,High,en,phone,2025-06-29T00:43:08
123,"Ward 12 ke paas awara kutte 10 dino se aggressive ho gaye hai, ek insaan ko kaat liya.",Health,Medium,hinglish,web,2025-01-27T03:15:49
124,"Kalkaji के पास आवारा कुत्तों ने दो बच्चों काट लिया, कृपया जल्द कार्रवाई करें।",Other / Unknown,High,hi,web,2025-05-14T03:31:36
125,"Minor drip from a water pipe near Rohini, not urgent but should be checked. pleaase help please look into this",Water,Low,en,app,2025-05-25T20:38:19
126,"Lajpat Nagar mamuli encroachment hai, zyada zaroori nahi, bas inform kar raha hu.",Other / Unknown,Low,hinglish,app,2025-05-02T05:05:25
127,"Civil Lines के पास पीने के पानी में सीवेज मिल रहा है, परिवार बीमार पड़ रहे हैं, तत्काल ध्यान दें।",Water,High,hi,web,2025-04-03T00:08:20
128,सुझाव: Rohini की सड़क का पुनर्निर्माण कर दिया जाए तो अच्छा रहेगा।,Roads,Low,hi,whatsapp,2025-01-23T15:54:00
129,"Sector 21 me naali 3 din se jam hai, badbu fail rahi hai.",Sanitation,Medium,hinglish,phone,2025-04-04T23:56:10
130,"Patel Nagar ke paas naali fat gayi hai aur sewage ka pani sadak par bhar gaya hai, health emergency hai. pls jaldi karo",Sanitation,High,hinglish,app,2025-02-05T12:11:39
131,सुझाव: Lajpat Nagar के पार्क में एक और स्ट्रीट लाइट लगाई जाए।,Lights,Low,hi,whatsapp,2025-03-24T10:19:31
132,"Saket ke paas 10 dino se illegal parking road ko jam kar rahi hai, please karwai karo. urgent hai",Other / Unknown,Medium,hinglish,web,2025-01-06T19:10:16
133,"Sewage is mixing into the drinking water supply near Koramangala, families are falling sick, imemdiate action needed.",Water,High,en,app,2025-06-15T10:44:40
134,"Ward 12 में खंभे की बत्ती 10 दिनों से बंद है, कृपया तकनीशियन भेजें। बहुत परेशानी हो रही है",Lights,Medium,hi,web,2025-02-28T07:41:50
135,Suggestion: monsoon se pehhle Civil Lines ke paas fogging karwai jaye.,Health,Low,hinglish,whatsapp,2025-01-01T03:25:52
136,"Salt Lake के पास नाली फट गई है और सीवेज का पानी सड़क पर भर गया है, स्वास्थ्य आपातकाल है।",Sanitation,High,hi,app,2025-03-05T11:54:59
137,"Hauz Khas ke paas sewage gharo me ghus raha hai, bacho ke liye bahut khatarnak aur ganda hai, turant madad chahiye. urgent hai",Sanitation,High,hinglish,app,2025-06-23T20:03:35
138,"Lajpat Nagar के पास एक हफ्ते से कचरे का ढेर लगा है, मेडिकल वेस्ट भी मिला है, चूहे और आवारा कुत्ते बढ़ रहे हैं, स्वास्थ्य के लिए खतरा है।",Waste,High,hi,phone,2025-04-06T16:52:56
139,"Nehru Colony के पास कचरे का बड़ा ढेर सड़ रहा है और बीमारी फैला रहा है, तुरंत उठवाएं।",Waste,High,hi,app,2025-01-23T16:05:15
140,"Shastri Nagar के पास एक्सीडेंट हुआ है और एक घंटे से एम्बुलेंस नहीं आई, चिकित्सा आपातकाल है। हालत बिगड़ रही है",Health,High,hi,web,2025-04-29T22:29:29
141,"Loud construction noise near Gandhi Chowk at night for 5 days, disturbing residents.",Other / Unknown,Medium,en,whatsapp,2025-02-26T16:08:55
142,"Sector 21 के पास सीवेज घरों में घुस रहा है, बच्चों के लिए बहुत खतरनाक और गंदा है, तुरंत मदद चाहिए।",Sanitation,High,hi,web,2025-04-27T16:53:06
143,"Dwarka Sector 9 ke paas hafto se paani ka pressure bahut kam hai, tanker ki zarurat hai.",Water,Medium,hinglish,app,2025-06-08T16:07:53
144,"Malviya Nagar ke paas naali fat gayi hai aur sewage ka pani sadak par bhar gaya hai, health emergency hai. please dhyan do",Sanitation,High,hinglish,whatsapp,2025-04-16T21:04:11
145,"Gandhi Chowk के पास ट्रांसफार्मर से चिंगारी निकल रही है, बहुत खतरनाक है, आग लग सकती है, तुरंत कार्रवाई करें। कृपया ध्यान दें",Electricity,High,hi,web,2025-02-10T20:21:12
146,"Green Park के एक महीने से कचरा नहीं उठाया गया है, डस्टबिन भर गए हैं।",Waste,Medium,hi,app,2025-05-30T19:53:38
147,Suggestion: cover the open dran near Indira Nagar for safety. pls fix asap,Sanitation,Low,en,phone,2025-02-12T11:29:18
148,"Saket में नाली 5 दिनों से जाम है, बदबू रही है। बहुत परेशानी हो रही है",Sanitation,Medium,hi,phone,2025-04-19T07:48:05
149,Suggestion: Malviya Nagar me kachra uthane ki frequency hatfe me do baar kar di jaye. pls jaldi karo please dhyan do,Waste,Low,hinglish,app,2025-06-17T23:18:50
150,"Nehru Colony ke paas 5 din se kachre ka dher laga hai, medical waste bhi mila hai, chuhe aur awara kutte badh rahe hai, health hazard hai.",Waste,High,hinglish,whatsapp,2025-02-10T22:54:25
151,"Loud construction noise near Dwarka Sector 9 at night for 2 weeks, disturbing residents.",Other / Unknown,Medium,en,web,2025-06-19T11:06:36
152,"A mjaor water pipeline near Hauz Khas has burst and is flooding homes, contaminated water mixing in, urgent! urgent!!!",Water,High,en,app,2025-01-06T19:10:02
153,सुझाव: Gandhi Chowk की खुली नाली को सुरक्षा के लिए ढक दिया जाए। बहुत परेशानी हो रही है,Sanitation,Low,hi,app,2025-04-22T22:57:45
154,Streetlight near Shastri Nagar has been flickering and going off for 2 weeks now.,Lights,Medium,en,phone,2025-04-06T13:55:32
155,"Patel Nagar ke paas accident hua hai aur ek ghante se ambulance nahi aayi, medical eergency hai.",Health,High,hinglish,app,2025-05-11T06:48:12
156,सुझाव: Nehru Colony में पानी सप्लाई का समय आधा घंटा बढ़ा दिया जाए। कृपया जल्दी करें,Water,Low,hi,phone,2025-04-08T12:45:43
157,"Lajpat Nagar के पास पीने के पानी सीवेज मिल रहा है, परिवार बीमार पड़ रहे हैं, तत्काल ध्यान दें।",Water,High,hi,app,2025-06-13T10:37:28
158,Suggestion: add an extra streetlight neaar Patel Nagar park for better visibility. please help,Lights,Low,en,whatsapp,2025-06-07T21:29:14
159,Ashok Vihar में रात को निर्माण कार्य का बहुत शोर हो रहा 5 दिनों से यही हाल है।,Other / Unknown,Medium,hi,phone,2025-03-23T09:48:02
160,"A major waater pipeline near Hauz Khas has burst and is flooding homes, contaminated water mixing in, urgent! pls fix asap",Water,High,en,app,2025-01-24T12:04:16
161,"Dwarka Sector 9 के पास बड़ी आग लगने का खतरा बताया गया है, प्रशासन तुरंत कार्रवाई करे।",Other / Unknown,High,hi,web,2025-01-22T01:59:28
162,"Rohini के पास डेंगू के कई मामले सामने आए हैं, मच्छरों का प्रकोप बढ़ गया है, तुरंत फॉगिंग करवाएं।",Health,High,hi,phone,2025-02-01T17:44:46
163,सुझाव: मानसून से पहले Koramangala के फॉगिंग करवाई जाए।,Health,Low,hi,whatsapp,2025-04-06T05:16:50
164,"Model Town के पास एक स्ट्रीट लाइट थोड़ी धीमी है, जरूरी नहीं पर बदल दी जाए तो अच्छा है। कृपया जल्दी करें",Lights,Low,hi,web,2025-02-04T14:59:08
165,Suggestion: Nehru Colony ke park me ek aur streetlight lagayi jaye.,Lights,Low,hinglish,whatsapp,2025-01-31T01:04:07
166,"Power keeps fluctuaating near Salt Lake for 10 days, damaging appliances.",Electricity,Medium,en,app,2025-01-06T06:24:38
167,"Shastri Nagar me sadak ki halat ek hafte se kharab hai, please thek karwao. urgent hai",Roads,Medium,hinglish,whatsapp,2025-01-06T23:57:55
168,Suggestion: Green Park ki purani wiring is saal badal di jaye.,Electricity,Low,hinglish,phone,2025-03-01T08:08:21
169,Mayur Vihar में 5 दिनों से बार-बार बिजली कटौती हो रही है। बहुत परेशानी हो रही है,Electricity,Medium,hi,whatsapp,2025-05-15T17:35:46
170,"Indira Nagar me sadak achhanak dhans gayi hai, bahut khatarnak hai, jaldi repair karwao.",Roads,High,hinglish,phone,2025-05-24T00:21:07
171,"The transformer near Kalkaji is sparking badly, extremely khatarnak, could catch fire, urgent action needed. please help",Electricity,High,en,app,2025-03-31T10:53:36
172,"Mosquito breeding has increased naer Hauz Khas for 2 weeks, residents fear an outbreak.",Health,Medium,en,app,2025-01-18T05:13:31
173,"Andheri West के पास पीने के पानी में सीवेज मिल रहा है, परिवार बीमार पड़ रहे हैं, तत्काल ध्यान दें। हालत बिगड़ रही है",Water,High,hi,web,2025-02-16T21:55:56
174,Suggestion: Kalkaji ke park me ek aur streetlight lagayi jaye. pls jaldi karo please dhyan do,Lights,Low,hinglish,app,2025-03-13T03:23:13
175,"The lamp post near Indira Nagar has been dark for a week, please send a technician.",Lights,Medium,en,app,2025-01-04T12:16:25
176,Suggestion: please increase garbage collection frequency near Vasant Kunj to twice a week.,Waste,Low,en,phone,2025-06-07T12:56:52
177,"Salt Lake की सभी स्ट्रीट लाइटें बंद हैं, रात में पूरा अंधेरा रहता है, बहुत खतरनाक है।",Lights,High,hi,phone,2025-01-06T03:16:42
178,"Ashok Vihar के पास एक महीने से अवैध पार्किंग सड़क को जाम कर रही है, कृपया कार्रवाई करें। सुझाव",Other / Unknown,Medium,hi,phone,2025-04-24T18:57:54
